date,Time_Period,Austria_Yield,Belgium_Yield,Bulgaria_Yield,Czech_Republic_Yield,Germany_Yield,Denmark_Yield,Estonia_Yield,Spain_Yield,Finland_Yield,France_Yield,Greece_Yield,Hungary_Yield,Ireland_Yield,Italy_Yield,Italy_Total_Yield,Ireland_Yield,Italy_Yield,Netherlands_Yield,Poland_Yield,Portugal_Yield,Sweden_Yield,Slovenia_Yield,Austria_Debt_GDP,Belgium_Debt_GDP,Belgium_Debt_GDP,Bulgaria_Debt_GDP,Cyprus_Debt_GDP,Czech_Republic_Debt_GDP,Germany_Debt_GDP,Denmark_Debt_GDP,Estonia_Debt_GDP,Spain_Debt_GDP,Finland_Debt_GDP,France_Debt_GDP,Government debt (consolidated) (as % of GDP) (GFS.A.N.GB.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ._T.F.V.N._T),Greece_Debt_GDP,Croatia_Debt_GDP,Hungary_Debt_GDP,Ireland_Debt_GDP,Italy_Debt_GDP,Ireland_Debt_GDP,Italy_Debt_GDP,Japan_Debt_GDP,Lithuania_Debt_GDP,Luxembourg_Debt_GDP,Latvia_Debt_GDP,Government Debt_MT,Government Debt_NL,Government Debt_PL,Government Debt_PT,Government Debt_RO,Government Debt_SE,Government Debt_SI,Government Debt_SK,Government Debt_US
2008-06-30,2008Jun,2.182840490797546,1.3296012269938648,2.8345394736842104,1.6322222222222222,0.7129386503067485,0.07764864864864865,3.926783333333333,1.7192944785276074,1.4230333333333332,1.8353558282208589,2.5863926380368096,3.9636503067484665,1.4453774834437088,1.7137730061349694,3.1384662576687115,1.4453774834437088,1.7137730061349694,0.7057142857142856,2.5746564417177913,1.6451666666666664,0.9544838709677419,0.825,73.49921428571429,75.34078571428572,75.34078571428572,42.88025,73.34289285714286,29.867035714285716,66.51167857142858,44.34153571428572,8.21375,73.63700000000001,53.906892857142864,79.77428571428571,67.12771428571429,138.89539285714287,52.966214285714294,69.24321428571429,79.4112962962963,79.74514285714284,79.4112962962963,79.74514285714284,163.15453571428571,28.284535714285713,15.041964285714286,26.656,57.705464285714285,56.99917857142857,47.67421428571429,92.38492857142856,27.010214285714287,46.42003571428571,44.95353571428571,44.060678571428575,59.734444444444435
2008-07-31,2008Jul,2.182840490797546,1.3296012269938648,2.8345394736842104,1.6322222222222222,0.7129386503067485,0.07764864864864865,3.926783333333333,1.7192944785276074,1.4230333333333332,1.8353558282208589,2.5863926380368096,3.9636503067484665,1.4453774834437088,1.7137730061349694,3.1384662576687115,1.4453774834437088,1.7137730061349694,0.7057142857142856,2.5746564417177913,1.6451666666666664,0.9544838709677419,0.825,73.49921428571429,75.34078571428572,75.34078571428572,42.88025,73.34289285714286,29.867035714285716,66.51167857142858,44.34153571428572,8.21375,73.63700000000001,53.906892857142864,79.77428571428571,67.12771428571429,138.89539285714287,52.966214285714294,69.24321428571429,79.4112962962963,79.74514285714284,79.4112962962963,79.74514285714284,163.15453571428571,28.284535714285713,15.041964285714286,26.656,57.705464285714285,56.99917857142857,47.67421428571429,92.38492857142856,27.010214285714287,46.42003571428571,44.95353571428571,44.060678571428575,59.734444444444435
2008-08-31,2008Aug,2.182840490797546,1.3296012269938648,2.8345394736842104,1.6322222222222222,0.7129386503067485,0.07764864864864865,3.926783333333333,1.7192944785276074,1.4230333333333332,1.8353558282208589,2.5863926380368096,3.9636503067484665,1.4453774834437088,1.7137730061349694,3.1384662576687115,1.4453774834437088,1.7137730061349694,0.7057142857142856,2.5746564417177913,1.6451666666666664,0.9544838709677419,0.825,73.49921428571429,75.34078571428572,75.34078571428572,42.88025,73.34289285714286,29.867035714285716,66.51167857142858,44.34153571428572,8.21375,73.63700000000001,53.906892857142864,79.77428571428571,67.12771428571429,138.89539285714287,52.966214285714294,69.24321428571429,79.4112962962963,79.74514285714284,79.4112962962963,79.74514285714284,163.15453571428571,28.284535714285713,15.041964285714286,26.656,57.705464285714285,56.99917857142857,47.67421428571429,92.38492857142856,27.010214285714287,46.42003571428571,44.95353571428571,44.060678571428575,59.734444444444435
2008-09-30,2008Sep,2.182840490797546,1.3296012269938648,2.8345394736842104,1.6322222222222222,0.7129386503067485,0.07764864864864865,3.926783333333333,1.7192944785276074,1.4230333333333332,1.8353558282208589,2.5863926380368096,3.9636503067484665,1.4453774834437088,1.7137730061349694,3.1384662576687115,1.4453774834437088,1.7137730061349694,0.7057142857142856,2.5746564417177913,1.6451666666666664,0.9544838709677419,0.825,73.49921428571429,75.34078571428572,75.34078571428572,42.88025,73.34289285714286,29.867035714285716,66.51167857142858,44.34153571428572,8.21375,73.63700000000001,53.906892857142864,79.77428571428571,67.12771428571429,138.89539285714287,52.966214285714294,69.24321428571429,79.4112962962963,79.74514285714284,79.4112962962963,79.74514285714284,163.15453571428571,28.284535714285713,15.041964285714286,26.656,57.705464285714285,56.99917857142857,47.67421428571429,92.38492857142856,27.010214285714287,46.42003571428571,44.95353571428571,44.060678571428575,59.734444444444435
2008-10-31,2008Oct,2.182840490797546,1.3296012269938648,2.8345394736842104,1.6322222222222222,0.7129386503067485,0.07764864864864865,3.926783333333333,1.7192944785276074,1.4230333333333332,1.8353558282208589,2.5863926380368096,3.9636503067484665,1.4453774834437088,1.7137730061349694,3.1384662576687115,1.4453774834437088,1.7137730061349694,0.7057142857142856,2.5746564417177913,1.6451666666666664,0.9544838709677419,0.825,73.49921428571429,75.34078571428572,75.34078571428572,42.88025,73.34289285714286,29.867035714285716,66.51167857142858,44.34153571428572,8.21375,73.63700000000001,53.906892857142864,79.77428571428571,67.12771428571429,138.89539285714287,52.966214285714294,69.24321428571429,79.4112962962963,79.74514285714284,79.4112962962963,79.74514285714284,163.15453571428571,28.284535714285713,15.041964285714286,26.656,57.705464285714285,56.99917857142857,47.67421428571429,92.38492857142856,27.010214285714287,46.42003571428571,44.95353571428571,44.060678571428575,59.734444444444435
2008-11-30,2008Nov,2.182840490797546,1.3296012269938648,2.8345394736842104,1.6322222222222222,0.7129386503067485,0.07764864864864865,3.926783333333333,1.7192944785276074,1.4230333333333332,1.8353558282208589,2.5863926380368096,3.9636503067484665,1.4453774834437088,1.7137730061349694,3.1384662576687115,1.4453774834437088,1.7137730061349694,0.7057142857142856,2.5746564417177913,1.6451666666666664,0.9544838709677419,0.825,73.49921428571429,75.34078571428572,75.34078571428572,42.88025,73.34289285714286,29.867035714285716,66.51167857142858,44.34153571428572,8.21375,73.63700000000001,53.906892857142864,79.77428571428571,67.12771428571429,138.89539285714287,52.966214285714294,69.24321428571429,79.4112962962963,79.74514285714284,79.4112962962963,79.74514285714284,163.15453571428571,28.284535714285713,15.041964285714286,26.656,57.705464285714285,56.99917857142857,47.67421428571429,92.38492857142856,27.010214285714287,46.42003571428571,44.95353571428571,44.060678571428575,59.734444444444435
2008-12-31,2008Dec,2.182840490797546,1.3296012269938648,2.8345394736842104,1.6322222222222222,0.7129386503067485,0.07764864864864865,3.926783333333333,1.7192944785276074,1.4230333333333332,1.8353558282208589,2.5863926380368096,3.9636503067484665,1.4453774834437088,1.7137730061349694,3.1384662576687115,1.4453774834437088,1.7137730061349694,0.7057142857142856,2.5746564417177913,1.6451666666666664,0.9544838709677419,0.825,73.49921428571429,75.34078571428572,75.34078571428572,42.88025,73.34289285714286,29.867035714285716,66.51167857142858,44.34153571428572,8.21375,73.63700000000001,53.906892857142864,79.77428571428571,67.12771428571429,138.89539285714287,52.966214285714294,69.24321428571429,79.4112962962963,79.74514285714284,79.4112962962963,79.74514285714284,163.15453571428571,28.284535714285713,15.041964285714286,26.656,57.705464285714285,56.99917857142857,47.67421428571429,92.38492857142856,27.010214285714287,46.42003571428571,44.95353571428571,44.060678571428575,59.734444444444435
2009-01-31,2009Jan,2.182840490797546,1.3296012269938648,2.8345394736842104,1.6322222222222222,0.7129386503067485,0.07764864864864865,3.926783333333333,1.7192944785276074,1.4230333333333332,1.8353558282208589,2.5863926380368096,3.9636503067484665,1.4453774834437088,1.7137730061349694,3.1384662576687115,1.4453774834437088,1.7137730061349694,0.7057142857142856,2.5746564417177913,1.6451666666666664,0.9544838709677419,0.825,73.49921428571429,75.34078571428572,75.34078571428572,42.88025,73.34289285714286,29.867035714285716,66.51167857142858,44.34153571428572,8.21375,73.63700000000001,53.906892857142864,79.77428571428571,67.12771428571429,138.89539285714287,52.966214285714294,69.24321428571429,79.4112962962963,79.74514285714284,79.4112962962963,79.74514285714284,163.15453571428571,28.284535714285713,15.041964285714286,26.656,57.705464285714285,56.99917857142857,47.67421428571429,92.38492857142856,27.010214285714287,46.42003571428571,44.95353571428571,44.060678571428575,59.734444444444435
2009-02-28,2009Feb,2.182840490797546,1.3296012269938648,2.8345394736842104,1.6322222222222222,0.7129386503067485,0.07764864864864865,3.926783333333333,1.7192944785276074,1.4230333333333332,1.8353558282208589,2.5863926380368096,3.9636503067484665,1.4453774834437088,1.7137730061349694,3.1384662576687115,1.4453774834437088,1.7137730061349694,0.7057142857142856,2.5746564417177913,1.6451666666666664,0.9544838709677419,0.825,73.49921428571429,75.34078571428572,75.34078571428572,42.88025,73.34289285714286,29.867035714285716,66.51167857142858,44.34153571428572,8.21375,73.63700000000001,53.906892857142864,79.77428571428571,67.12771428571429,138.89539285714287,52.966214285714294,69.24321428571429,79.4112962962963,79.74514285714284,79.4112962962963,79.74514285714284,163.15453571428571,28.284535714285713,15.041964285714286,26.656,57.705464285714285,56.99917857142857,47.67421428571429,92.38492857142856,27.010214285714287,46.42003571428571,44.95353571428571,44.060678571428575,59.734444444444435
2009-03-31,2009Mar,2.182840490797546,1.3296012269938648,2.8345394736842104,1.6322222222222222,0.7129386503067485,0.07764864864864865,3.926783333333333,1.7192944785276074,1.4230333333333332,1.8353558282208589,2.5863926380368096,3.9636503067484665,1.4453774834437088,1.7137730061349694,3.1384662576687115,1.4453774834437088,1.7137730061349694,0.7057142857142856,2.5746564417177913,1.6451666666666664,0.9544838709677419,0.825,73.49921428571429,75.34078571428572,75.34078571428572,42.88025,73.34289285714286,29.867035714285716,66.51167857142858,44.34153571428572,8.21375,73.63700000000001,53.906892857142864,79.77428571428571,67.12771428571429,138.89539285714287,52.966214285714294,69.24321428571429,79.4112962962963,79.74514285714284,79.4112962962963,79.74514285714284,163.15453571428571,28.284535714285713,15.041964285714286,26.656,57.705464285714285,56.99917857142857,47.67421428571429,92.38492857142856,27.010214285714287,46.42003571428571,44.95353571428571,44.060678571428575,59.734444444444435
